Item_Name,Estimated_Price,Product_URL,Feature
"經典黃銅鋼筆","NT$2500","https://www.ystudiostyle.com.tw","高質感黃銅材質，展現沉穩專業的品牌形象"
"隨身黃銅鋼珠筆","NT$1800","https://www.ystudiostyle.com.tw","方便攜帶，黃銅隨時間產生獨特氧化光澤"
"胡桃木黃銅桌上筆","NT$3200","https://www.ystudiostyle.com.tw","結合實木與黃銅，適合高階主管辦公桌擺設"
"客製化環保軟木筆記本","NT$450","https://www.cozu.com.tw","環保軟木材質，提供燙金企業Logo客製"
"鋁合金快充行動電源","NT$950","https://www.cozu.com.tw","支援Type-C快充，金屬機身雷雕Logo質感佳"
"竹纖維環保隨行杯","NT$600","https://www.cozu.com.tw","採用天然竹纖維，符合ESG企業永續精神"
"禪風陶瓷便攜茶具組","NT$1500","https://www.lohaspottery.com.tw","獨特陶瓷工藝，適合商務出差或辦公室品茗"
"活水陶瓷保溫杯","NT$1200","https://www.lohaspottery.com.tw","內膽純陶瓷不挑飲品，外觀具東方美學設計"
"原木陶瓷辦公馬克杯","NT$850","https://www.lohaspottery.com.tw","陶瓷與原木手柄完美結合，防燙且具溫潤手感"
"客製化皮革識別證套","NT$750","https://www.pinkoi.com","嚴選真皮手工縫製，可壓印員工姓名或企業標誌"
"植栽擴香石木盒組","NT$1050","https://www.pinkoi.com","結合室內植栽與療癒擴香，提升辦公室生活質感"
"質感原木無線充電盤","NT$880","https://www.pinkoi.com","實木雕刻製作，支援Qi無線充電且具備桌面裝飾效果"
"ESG小麥桔稈餐具組","NT$350","https://www.bkl.com.tw","可分解小麥桔稈製成，實踐綠色辦公生活"
"客製化香氛蠟燭禮盒","NT$1350","https://www.bkl.com.tw","採用大豆蠟與天然精油，包裝精緻適合女性客戶"
"多功能皮革滑鼠墊","NT$550","https://www.bkl.com.tw","防水抗污合成皮材質，大面積可印製企業精神標語"
